Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Nam Từ Liêm,Căn hộ chung cư,110.0,4.55,3,2
Ba Đình,Nhà riêng,68.0,10.5,5,5
Hà Đông,Căn hộ chung cư,70.0,2.57,2,2
Bắc Từ Liêm,Căn hộ chung cư,83.0,5.38,3,2
Đống Đa,Nhà mặt phố,75.0,27.0,7,4
Cầu Giấy,Nhà riêng,50.0,10.0,11,11
Cầu Giấy,Căn hộ chung cư,157.0,11.78,3,2
Tây Hồ,Căn hộ chung cư,111.0,12.5,3,3
Nam Từ Liêm,Căn hộ chung cư,54.0,3.1,2,1
Hai Bà Trưng,Nhà riêng,35.0,4.95,3,4
Cầu Giấy,Nhà riêng,49.0,14.6,6,7
Gia Lâm,Căn hộ chung cư,66.0,3.14,2,2
Nam Từ Liêm,Căn hộ chung cư,159.0,5.9,4,3
Bắc Từ Liêm,Nhà riêng,71.0,12.8,15,15
Hoài Đức,Nhà riêng,57.0,4.35,2,2
Hoàng Mai,Căn hộ chung cư,73.0,3.1,2,2
Tây Hồ,Nhà mặt phố,190.0,46.0,4,4
Cầu Giấy,Nhà mặt phố,60.0,21.0,4,4
Tây Hồ,Căn hộ chung cư,101.0,8.0,2,2
Hà Đông,Căn hộ chung cư,70.0,2.28,2,2
Cầu Giấy,Căn hộ chung cư,120.0,8.5,3,2
Nam Từ Liêm,Nhà mặt phố,100.0,65.0,4,10
Hà Đông,Nhà mặt phố,125.0,38.0,8,8
Thanh Xuân,Nhà riêng,44.0,9.5,4,5
Long Biên,Nhà riêng,45.0,9.78,3,4
Nam Từ Liêm,Nhà riêng,60.0,6.6,4,4
Hai Bà Trưng,Nhà riêng,32.0,4.49,3,4
Đống Đa,Nhà riêng,50.0,17.8,5,4
Ba Đình,Nhà riêng,42.0,6.9,9,9
Long Biên,Nhà mặt phố,83.0,33.5,6,6
Cầu Giấy,Căn hộ chung cư,135.0,10.9,3,4
Nam Từ Liêm,Căn hộ chung cư,61.0,3.6,2,2
Thanh Xuân,Căn hộ chung cư,133.0,7.6,3,2
Ba Đình,Nhà riêng,23.0,4.8,3,4
Nam Từ Liêm,Căn hộ chung cư,132.0,6.2,3,3
Gia Lâm,Căn hộ chung cư,54.0,2.35,1,1
Nam Từ Liêm,Căn hộ chung cư,84.0,5.9,2,2
Đống Đa,Nhà riêng,75.0,18.0,22,23
Gia Lâm,Căn hộ chung cư,76.0,3.65,2,2
Ba Đình,Nhà riêng,48.0,8.48,4,6
Thanh Xuân,Căn hộ chung cư,90.0,4.5,3,2
Nam Từ Liêm,Căn hộ chung cư,54.0,2.8,2,2
Đống Đa,Nhà riêng,44.0,13.5,4,4
Thanh Xuân,Căn hộ chung cư,120.0,9.94,3,2
Nam Từ Liêm,Căn hộ chung cư,72.0,3.9,2,2
Hoàng Mai,Căn hộ chung cư,86.0,4.2,2,2
Nam Từ Liêm,Căn hộ chung cư,70.0,4.2,2,2
Bắc Từ Liêm,Căn hộ chung cư,73.0,3.75,2,2
Hoàn Kiếm,Nhà mặt phố,42.0,9.5,5,3
Cầu Giấy,Căn hộ chung cư,51.0,4.08,1,1
Nam Từ Liêm,Nhà riêng,60.0,12.9,4,6
Thanh Xuân,Căn hộ chung cư,71.0,4.8,2,2
Đống Đa,Nhà riêng,32.0,7.0,4,4
Thanh Xuân,Căn hộ chung cư,76.0,3.85,2,2
Gia Lâm,Căn hộ chung cư,48.0,1.65,1,1
Nam Từ Liêm,Căn hộ chung cư,28.0,1.2,1,1
Thanh Xuân,Căn hộ chung cư,104.0,8.5,3,2
Tây Hồ,Nhà riêng,46.0,13.8,5,5
Nam Từ Liêm,Căn hộ chung cư,86.0,5.5,3,2
Nam Từ Liêm,Căn hộ chung cư,28.0,1.35,1,1
Thanh Xuân,Căn hộ chung cư,104.0,8.5,3,2
Hai Bà Trưng,Nhà mặt phố,190.0,72.0,4,4
Đống Đa,Nhà riêng,62.0,15.5,5,6
Hoàng Mai,Nhà riêng,55.0,14.5,5,5
Thanh Trì,Nhà riêng,37.0,4.75,4,3
Nam Từ Liêm,Căn hộ chung cư,104.0,6.0,3,2
Thanh Xuân,Căn hộ chung cư,85.0,5.3,3,2
Nam Từ Liêm,Căn hộ chung cư,28.0,1.2,1,1
Tây Hồ,Nhà riêng,35.0,13.6,4,5
Thanh Xuân,Căn hộ chung cư,70.0,4.5,2,2
Tây Hồ,Căn hộ chung cư,141.0,11.0,3,2
Hoàn Kiếm,Căn hộ chung cư,151.0,86.0,3,2
Ba Đình,Căn hộ chung cư,146.0,21.5,4,3
Tây Hồ,Căn hộ chung cư,60.0,5.0,2,2
Hoàng Mai,Nhà riêng,42.0,7.3,4,5
Nam Từ Liêm,Căn hộ chung cư,113.0,8.8,3,2
Cầu Giấy,Nhà riêng,45.0,9.0,5,4
Bắc Từ Liêm,Nhà riêng,50.0,8.0,4,4
Tây Hồ,Căn hộ chung cư,145.0,13.6,3,2
Gia Lâm,Căn hộ chung cư,66.0,4.47,2,2
Bắc Từ Liêm,Căn hộ chung cư,68.0,3.77,2,2
Hoàng Mai,Nhà mặt phố,82.0,12.8,5,5
Nam Từ Liêm,Căn hộ chung cư,110.0,4.7,3,2
Cầu Giấy,Nhà riêng,170.0,32.0,42,43
Bắc Từ Liêm,Căn hộ chung cư,100.0,4.65,3,2
Hai Bà Trưng,Nhà riêng,32.0,5.5,3,4
Thanh Xuân,Nhà riêng,70.0,25.0,8,9
Thanh Xuân,Nhà riêng,84.0,33.0,6,5
Quốc Oai,Nhà riêng,60.0,1.83,4,3
Tây Hồ,Căn hộ chung cư,100.0,8.0,2,2
Long Biên,Nhà mặt phố,130.0,54.0,10,10
Long Biên,Nhà riêng,42.0,6.15,3,4
Đông Anh,Căn hộ chung cư,98.0,3.61,3,2
